Name,ContentEn,ContentFr,ContentNl,FAQ,Format,Language,Roles,Tags,TitleEn,TitleFr,TitleNl,UniekeId
sim-faq-01-gemeente,"Location is the strongest factor in our system. On average, cars in Ghent are shared 34% more than outside the city.","L’emplacement est le facteur le plus important dans notre système. À Gand, les voitures sont en moyenne partagées 34 % plus qu’ailleurs.",Locatie is de sterkste factor in ons systeem. Wagens in Gent worden gemiddeld 34% meer gedeeld dan daarbuiten.,Yes,text,,"public, user",simulation_step_1,Why do you ask for my municipality?,Pourquoi demandez-vous ma commune ?,Waarom vragen jullie mijn gemeente?,
sim-faq-02-wagentype,Please contact us via the contact form. We regularly add new types.,Contactez-nous via le formulaire de contact. Nous ajoutons régulièrement de nouveaux types.,Neem contact op via het contactformulier. We voegen regelmatig nieuwe types toe.,Yes,text,,"public, user",simulation_step_1,What if my car type is not listed?,Et si mon type de voiture n’est pas dans la liste ?,Wat als mijn wagentype er niet bij staat?,
sim-faq-03-tarief,"Category A applies to most passenger cars. Category B is for 7-seaters, larger vehicles and vans because running costs are higher.","La catégorie A s’applique à la plupart des voitures particulières. La catégorie B concerne les 7 places, les véhicules plus grands et les utilitaires, en raison de coûts d’usage plus élevés.","Categorie A geldt voor de meeste personenwagens. Categorie B is voor 7-zitters, grotere voertuigen en bestelwagens wegens hogere gebruikskosten.",Yes,text,,"public, user",simulation_step_2_approved,What is the difference between category A and category B?,Quelle est la différence entre la catégorie A et la catégorie B ?,Wat is het verschil tussen categorie A en categorie B?,
sim-faq-04-definitief,Not yet. Final admission only happens after an info session and a check by a Dégage staff member.,Pas encore. L’admission définitive n’a lieu qu’après une séance d’information et un contrôle par un collaborateur Dégage.,Nog niet. De definitieve toelating gebeurt pas na een infosessie én controle door een Dégage-medewerker.,Yes,text,,"public, user",simulation_step_2_approved,Is this result final?,Ce résultat est-il définitif ?,Is dit resultaat definitief?,
sim-faq-05-geschatte-waarde,"Based on make, model, year of manufacture and mileage. It is fixed when you join.","Sur la base de la marque, du modèle, de l’année de construction et du kilométrage. Elle est fixée à l’entrée.","Op basis van merk, model, bouwjaar en kilometerstand. Ze wordt vastgelegd bij instap.",Yes,text,,"public, user",simulation_step_2_approved,How is the estimated value determined?,Comment la valeur estimée est-elle déterminée ?,Hoe wordt de geschatte waarde bepaald?,
sim-faq-06-afschrijving,This is the amount by which your car’s value is written down per shared kilometre. It is settled in your quarterly statement.,C’est le montant dont la valeur de votre voiture est amortie par kilomètre partagé. Il est intégré à votre facturation trimestrielle.,Dit is het bedrag waarmee de waarde van je wagen afgeschreven wordt per gedeelde kilometer. Het wordt verrekend in je kwartaalafrekening.,Yes,text,,"public, user",simulation_step_2_approved,What does depreciation per km mean?,Que signifie l’amortissement par km ?,Wat betekent de afschrijving per km?,
sim-faq-07-afgekeurd,"The simulation checks age, mileage, eco score and cost per km. If the combination is above our threshold, the car is too expensive to share profitably.","La simulation vérifie l’âge, le kilométrage, l’écoscore et le coût par km. Si la combinaison dépasse notre seuil, la voiture est trop chère pour être partagée de façon rentable.","De simulatie toetst op leeftijd, kilometerstand, ecoscore en kostprijs per km. Als de combinatie boven onze drempel komt, is de wagen te duur om rendabel te delen.",Yes,text,,"public, user",simulation_step_2_rejected,Why was my car rejected?,Pourquoi ma voiture a-t-elle été refusée ?,Waarom werd mijn wagen afgekeurd?,
sim-faq-08-opnieuw,Yes — click ‘New simulation’ above.,Oui — cliquez sur « Nouvelle simulation » ci-dessus.,"Ja, klik op 'Nieuwe simulatie' hierboven.",Yes,text,,"public, user",simulation_step_2_rejected,Can I run the simulation again?,Puis-je refaire la simulation ?,Kan ik opnieuw simuleren?,
sim-faq-09-in-behandeling,Your car is just outside our automated criteria. A staff member will review your application personally.,Votre voiture se situe juste en dehors de nos critères automatisés. Un collaborateur examine votre demande personnellement.,Je wagen valt net buiten de geautomatiseerde criteria. Een medewerker bekijkt je aanvraag persoonlijk.,Yes,text,,"public, user",simulation_step_2_review,What does ‘under review’ mean?,Que signifie « en cours d’examen » ?,Wat betekent 'in behandeling'?,
sim-faq-17-opnieuw-review,Yes — click ‘New simulation’ above.,Oui — cliquez sur « Nouvelle simulation » ci-dessus.,"Ja, klik op 'Nieuwe simulatie' hierboven.",Yes,text,,"public, user",simulation_step_2_review,Can I run the simulation again?,Puis-je refaire la simulation ?,Kan ik opnieuw simuleren?,
sim-faq-10-afrekening,Dégage settles every quarter. You receive compensation per shared kilometre.,Dégage règle les comptes chaque trimestre. Vous recevez une indemnité par kilomètre partagé.,Dégage rekent elk kwartaal af. Je ontvangt een vergoeding per gedeelde kilometer.,Yes,text,,"public, user",simulation_step_3,How does the owner settlement work?,Comment fonctionne la facturation propriétaire ?,Hoe werkt de eigenaarsafrekening?,
sim-faq-11-verzekering,The policy through Ethias covers all members who drive your car — broader cover than a personal insurance policy.,La police via Ethias couvre tous les membres qui conduisent votre voiture — une couverture plus large qu’une assurance personnelle.,De polis via Ethias dekt alle leden die met jouw wagen rijden — bredere dekking dan een persoonlijke verzekering.,Yes,text,,"public, user",simulation_step_3,Why is Dégage insurance more expensive?,Pourquoi l’assurance Dégage est-elle plus chère ?,Waarom is de Dégage-verzekering duurder?,
sim-faq-12-beschikbaar,Then less of your car costs are earned back. There is no minimum.,Alors une plus petite part de vos coûts auto est récupérée. Il n’y a pas de minimum.,Dan worden je autokosten minder terugverdiend. Er is geen minimum.,Yes,text,,"public, user",simulation_step_3,What if I offer little availability?,Et si je mets peu de disponibilité ?,Wat als ik weinig beschikbaar stel?,
